                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1612,                 1.6254,                 1.2795,                0.46073,                0.53822,                0.58548,                0.43119,                0.94697,                 3.6238,                  1.528,             0.00065741,             0.00065741,             0.00065741
                      2,                 1.3093,                 1.3777,                 1.3803,                0.16742,                0.48148,                0.28417,                0.09046,                  1.985,                 12.621,                 3.1569,              0.0012804,              0.0012804,              0.0012804
                      3,                 1.3338,                 1.3955,                 1.3842,                0.08071,                0.25926,                0.03988,                0.01704,                 2.3192,                  10.56,                 2.6617,              0.0018594,              0.0018594,              0.0018594
                      4,                 1.3818,                 1.4144,                 1.4103,                0.20619,                0.48103,                0.20741,                   0.14,                 1.5994,                 7.6608,                 2.0861,               0.001802,               0.001802,               0.001802
                      5,                  1.314,                 1.3576,                 1.3675,                0.35415,                0.59259,                0.40467,                0.22204,                  1.292,                 2.0069,                  1.897,               0.001802,               0.001802,               0.001802
                      6,                  1.326,                  1.199,                 1.3658,                 0.3607,                0.40741,                0.25761,                0.14529,                 1.5995,                 2.5235,                 2.0236,               0.001736,               0.001736,               0.001736
                      7,                  1.255,                 1.1761,                 1.3201,                 0.6534,                0.48148,                0.47005,                0.25976,                 1.7244,                 2.5319,                 2.1026,                0.00167,                0.00167,                0.00167
                      8,                  1.219,                 1.1642,                 1.3141,                0.78473,                0.54055,                0.70058,                0.49592,                 1.0901,                 1.7262,                 1.5449,               0.001604,               0.001604,               0.001604
                      9,                 1.2182,                 1.1301,                 1.2948,                0.65423,                0.66667,                0.72865,                0.54608,                0.94225,                 1.5613,                 1.4306,               0.001538,               0.001538,               0.001538
                     10,                 1.1799,                  1.141,                 1.2572,                0.61759,                0.55556,                0.61959,                0.41858,                 1.1179,                 1.8235,                 1.5689,               0.001472,               0.001472,               0.001472
                     11,                 1.1508,                 1.0528,                 1.2574,                0.72084,                0.74074,                0.76073,                 0.5453,                 1.0564,                 1.3192,                 1.5389,               0.001406,               0.001406,               0.001406
                     12,                 1.1713,                0.99359,                 1.2486,                0.94606,                0.81481,                0.87958,                0.68766,                0.86506,                0.98868,                 1.3215,                0.00134,                0.00134,                0.00134
                     13,                 1.0742,                0.92593,                 1.2138,                0.53785,                0.59259,                0.54547,                0.23519,                 1.9686,                  1.657,                 2.9385,               0.001274,               0.001274,               0.001274
                     14,                 1.0786,                0.89298,                 1.2138,                0.80528,                0.76615,                0.88247,                0.70688,                0.76642,                0.93648,                 1.3091,               0.001208,               0.001208,               0.001208
                     15,                 1.0842,                0.88202,                 1.2023,                0.91398,                0.88889,                0.94289,                0.79568,                0.69029,                0.73952,                 1.2797,               0.001142,               0.001142,               0.001142
                     16,                 1.0331,                0.81098,                 1.1836,                      1,                0.95103,                0.99293,                  0.828,                0.68885,                 0.6076,                 1.1918,               0.001076,               0.001076,               0.001076
                     17,                 1.0381,                0.79783,                 1.1706,                      1,                0.62196,                0.81229,                0.67209,                 0.8062,                0.93223,                 1.3438,                0.00101,                0.00101,                0.00101
                     18,                 1.0596,                0.77419,                 1.1727,                0.92093,                0.88889,                0.95445,                0.83367,                0.61481,                0.69519,                 1.1715,               0.000944,               0.000944,               0.000944
                     19,                 1.0458,                 0.7621,                  1.179,                0.89905,                      1,                0.98646,                0.82642,                0.68088,                 0.6201,                 1.2081,               0.000878,               0.000878,               0.000878
                     20,                 1.0203,                0.74638,                  1.162,                 0.9607,                0.92593,                0.95023,                  0.797,                0.66738,                0.64061,                 1.1977,               0.000812,               0.000812,               0.000812
                     21,                0.89103,                0.70353,                  1.103,                0.79212,                0.88889,                 0.9163,                0.74535,                0.68117,                0.79144,                  1.227,               0.000746,               0.000746,               0.000746
                     22,                0.88752,                 0.6525,                  1.111,                0.88346,                0.84255,                0.92068,                0.78434,                0.59402,                 0.6921,                 1.1225,                0.00068,                0.00068,                0.00068
                     23,                0.88638,                0.61483,                 1.0996,                0.95993,                0.88889,                0.95655,                0.82814,                0.57451,                0.55421,                 1.0969,               0.000614,               0.000614,               0.000614
                     24,                0.85716,                0.59505,                 1.0893,                0.96136,                0.92169,                0.97957,                0.83714,                0.57426,                0.55125,                  1.104,               0.000548,               0.000548,               0.000548
                     25,                0.85162,                0.56004,                 1.0809,                0.92674,                0.96296,                0.98491,                0.84893,                0.57001,                0.45903,                 1.0844,               0.000482,               0.000482,               0.000482
                     26,                0.83964,                0.54175,                  1.075,                      1,                0.95462,                0.99293,                0.85392,                0.54572,                 0.4507,                 1.0735,               0.000416,               0.000416,               0.000416
                     27,                0.84609,                0.53241,                 1.0817,                0.99553,                      1,                  0.995,                0.88556,                0.47958,                0.38975,                0.99445,                0.00035,                0.00035,                0.00035
                     28,                0.80375,                0.50595,                 1.0561,                0.90395,                0.96296,                0.98414,                0.86883,                0.55659,                0.45283,                 1.0554,               0.000284,               0.000284,               0.000284
                     29,                0.80329,                0.50435,                 1.0446,                0.93095,                0.99879,                0.99145,                 0.9177,                0.44625,                 0.3896,                0.96632,               0.000218,               0.000218,               0.000218
                     30,                0.79921,                0.47129,                 1.0439,                0.96144,                      1,                0.99393,                0.90175,                0.46673,                0.36327,                0.97421,               0.000152,               0.000152,               0.000152
